,alpha_beta_cvar_weights_daily,risk_parity_weights_daily,ridge_regression,Equal_Weighted
2024-12-05,1.0636377171759999,1.0750662043015509,,1.017695992487527
2024-12-06,1.0685163930347858,1.0794993385037541,1.0427375090637532,1.0219234873665097
2024-12-09,1.0686402625863591,1.0797869339853527,,1.0219234873665097
2024-12-10,1.0679834672856998,1.0787633542145345,,1.0219234873665097
2024-12-11,1.0679203608879428,1.078109201816634,1.0411345559143221,1.0219025208740118
2024-12-12,1.0679769477958332,1.0779361936938459,,1.0219025208740118
2024-12-13,1.060264891121218,1.0762122530731455,,1.0219025208740118
2024-12-16,1.0602468725822782,1.0761509062743577,1.0392737450296596,1.0218911658337961
2024-12-17,1.0602369177548867,1.0761208787944423,,1.0218911658337961
2024-12-18,1.0602474269625777,1.0761352376861262,,1.0218911658337961
2024-12-19,1.0603117631438639,1.0762215545001579,1.041049683234406,1.0221540903051431
2024-12-20,1.0620082996037652,1.0782178463710743,,1.0221540903051431
2024-12-23,1.0619030917619883,1.0780896868202914,,1.0221540903051431
2024-12-24,1.0619772446420153,1.0782233994011503,1.041168930187204,1.0226465765658195
2024-12-25,1.061958707722635,1.0782115246511235,,1.0226465765658195
2024-12-26,1.061986638549129,1.0782698266048558,,1.0226465765658195
2024-12-27,1.0633214522890864,1.0798084938361356,1.041064026548606,1.0236981067796957
2024-12-30,1.0633205665365877,1.0798051329844636,,1.0236981067796957
2024-12-31,1.06324059567649,1.0796551351442152,,1.0236981067796957
2025-01-02,1.0630517500068462,1.0793356165103345,1.0398467517739194,1.0219451453109474
2025-01-03,1.0624710641827222,1.0789697356632468,,1.0219451453109474
2025-01-06,1.0624792768183702,1.078881895534701,,1.0219451453109474
2025-01-07,1.0626011110418019,1.0790383078402759,1.0392426059663917,1.0228816997706816
2025-01-08,1.0625641381164193,1.0789659663931428,,1.0228816997706816
2025-01-09,1.0624996500378072,1.078816241979596,,1.0228816997706816
2025-01-10,1.0653457340047117,1.0805899139124389,1.0393712399013766,1.024256562308865
2025-01-13,1.0654012061453901,1.0804259786565997,,1.024256562308865
2025-01-14,1.06549800981705,1.0822523649091988,,1.024256562308865
2025-01-15,1.0655315150970697,1.0823132773088013,1.0395830158177788,1.0243434989824938
2025-01-16,1.0655523823831667,1.082329607014575,,1.0243434989824938
2025-01-17,1.0635307743091535,1.0830120652603628,,1.0243434989824938
2025-01-20,1.0635371084580578,1.0832743888623466,1.0396490751410417,1.0246457495457686
2025-01-21,1.0635724862572538,1.0836809817215283,,1.0246457495457686
2025-01-22,1.0635835027650185,1.0837991935217788,,1.0246457495457686
2025-01-23,1.0635477913411113,1.0836969130610412,1.0374102835345318,1.024603478305993
2025-01-24,1.0633728975321086,1.084229113356149,,1.024603478305993
2025-01-27,1.0634930670012182,1.0842590868751623,,1.024603478305993
2025-02-05,1.0634750342901926,1.084122907614963,1.0370850135478396,1.024629669333935
2025-02-06,1.0635665801983378,1.0846477271482622,,1.024629669333935
2025-02-07,1.0679870114384005,1.0877916526535327,,1.024629669333935
2025-02-10,1.0680023457504697,1.0879300918419916,1.0369030968439408,1.0248302369932702
2025-02-11,1.0680753839752204,1.0880762728957543,,1.0248302369932702
2025-02-12,1.0682351551207774,1.0887224937937994,,1.0248302369932702
2025-02-13,1.0683547704168244,1.0889452328436091,1.0384473508587555,1.0250167152601974
2025-02-14,1.0699119202373333,1.0901496769620924,,1.0250167152601974
2025-02-17,1.070045401060873,1.0905277869680956,,1.0250167152601974
2025-02-18,1.0701672814160712,1.0914621295949982,1.035938450769408,1.0259203146763844
2025-02-19,1.070101137252223,1.0906372916847138,,1.0259203146763844
2025-02-20,1.0701084552504687,1.090797331096452,,1.0259203146763844
2025-02-21,1.0715837409251159,1.0923194238757792,1.0342530435327713,1.0271474375684932
2025-02-24,1.0716158668973592,1.0921711252050623,,1.0271474375684932
2025-02-25,1.0716228856614756,1.0922541948542344,,1.0271474375684932
2025-02-26,1.0716501585273552,1.0926178536755025,1.0326158921372,1.0275735194096551
2025-02-27,1.0717139726457525,1.092746669582829,,1.0275735194096551
2025-02-28,1.0719560927930416,1.0924586395021603,,1.0275735194096551
2025-03-03,1.071974693743781,1.0925446740792975,1.0309171742418246,1.0277134090323399
2025-03-04,1.071913547226472,1.0923927329326506,,1.0277134090323399
2025-03-05,1.0719589555829392,1.0924228301588048,,1.0277134090323399
2025-03-06,1.0720356370033781,1.0925923884324173,1.0376534331722678,1.0278496563767645
2025-03-07,1.0767533099967181,1.0947691979412382,,1.0278496563767645
2025-03-10,1.0764846990309795,1.0942130328729782,,1.0278496563767645
2025-03-11,1.0764499755667623,1.0942418556095421,1.0368553753407055,1.0279303541117109
2025-03-12,1.0764778322643824,1.0942746818405424,,1.0279303541117109
2025-03-13,1.0764367184264771,1.0935558900395765,,1.0279303541117109
2025-03-14,1.0778282196165112,1.092853432870644,1.0354310637678774,1.0281874989797701
2025-03-17,1.0778675608705697,1.0939061109933312,,1.0281874989797701
